# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Group defaultgrp	Mona,Big_Springs,Jail_Pond,Tooele_Army
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
978	un	323374	-0.00854	-1.00000	-0.00117	-1.00000	-nan	-1.00000
1000	un	332187	0.13075	-1.00000	0.13584	-1.00000	0.62233	-1.00000
1003	un	334588	-0.04534	-1.00000	-0.01163	-1.00000	0.49892	-1.00000
1012	un	337704	-0.00467	-1.00000	-0.00375	-1.00000	-nan	-1.00000
1016	un	338519	0.16384	-1.00000	0.08772	-1.00000	0.59165	-1.00000
1041	un	343276	0.04935	-1.00000	0.00392	-1.00000	0.00317	-1.00000
1055	un	348969	-0.02214	-1.00000	-0.01930	-1.00000	0.52287	-1.00000
1062	un	351387	-0.00014	-1.00000	-0.00004	-1.00000	0.59710	-1.00000
1063	un	352272	0.23219	-1.00000	0.12317	-1.00000	0.59531	-1.00000
1064	un	353059	-0.02798	-1.00000	-0.00545	-1.00000	0.59453	-1.00000
1089	un	359688	-0.03279	-1.00000	-0.00386	-1.00000	-nan	-1.00000
1092	un	360541	0.03069	-1.00000	0.02938	-1.00000	0.57784	-1.00000
1108	un	362726	-0.04551	-1.00000	-0.01615	-1.00000	-nan	-1.00000
1112	un	364329	0.01973	-1.00000	0.00292	-1.00000	-nan	-1.00000
1125	un	369050	-0.02296	-1.00000	-0.01010	-1.00000	0.53962	-1.00000
1136	un	371568	-0.00629	-1.00000	-0.00239	-1.00000	0.48477	-1.00000
1141	un	373611	-0.04886	-1.00000	-0.00491	-1.00000	0.54585	-1.00000
1158	un	379940	-0.04923	-1.00000	-0.01255	-1.00000	0.56780	-1.00000
1160	un	380707	-0.02806	-1.00000	-0.02048	-1.00000	-0.03573	-1.00000
